"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dr932","Carnarvon Basin upland survey","10.15468/30urb5","Carnarvon Basin upland survey. NatureMap: Mapping Western Australia's Biodiversity. Department of Environment and Conservation. URL: http://naturemap.dec.wa.gov.au/","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) Conditions of Access

All users need to acknowledge and agree to the following conditions before using NatureMap content:

Data within NatureMap is provided with the participation and good will of data custodians and I will endeavour, where possible, to seek a collaborative approach with custodians in any research or papers published using NatureMap data.

Re-sale of raw data or the commercial use of images or descriptive text (other than generated maps, species lists and reports) on this site is unauthorised unless written permission is obtained from the Department of Environment and Conservation (DEC).

Appropriate and full acknowledgement of DEC and species data custodians (see Data Directory) must always be given in any publication that includes data sourced here.

Data provided through NatureMap represents positive records of flora and fauna occurrence. The absence of a record should not be taken to mean flora or fauna is necessarily absent from an area. (To minimise the effect of data gaps, a buffer area should be applied that is reflective of the likelihood of surveys or collections having been undertaken in the target area.)

My username and password will not be passed on to any other person or organisation.

DEC and data custodians reserve the right to revoke registration if the above conditions of access are not complied with.

I will notify DEC if any relevant conditions change that might affect my NatureMap authorisation level.

Also note:

Custodians have kindly granted permission to allow relatively large subsets of data to be downloaded for a wide range of uses, including within a commercial context. Note, however, it is not NatureMap policy to allow the downloading of entire datasets

It is current custodian policy to only grant Advanced Access (see the Registration page) for bona fide research or conservation planning purposes. This does not extend to use within a commercial context. While this may appear restrictive, in fact basic registration provides a great deal of information on both conservation and non-conservation taxa, and all users are encouraged to explore NatureMap's sophisticated querying and mapping capabilities. DEC's Species and Communities Branch continues to provide information on detailed localities of conservation taxa to consultants and other commercial users on a fee-for-service basis.

Fair Use Guidlines

As stated above, we want as many people as possible to make use of the data available within NatureMap, so long as that use is ""fair"". It is considered fair for anyone to use information from NatureMap for conservation or planning purposes, including incorporating that information into reports or papers, or summarising and value-adding to data.

It is not considered fair use to download raw data and on-sell it. That would contravene copyright. It is also bad business, because anyone could obtain the same data directly from NatureMap.

Of particular note:

Maps, species lists, reports and raw data may be freely used by anyone, including commercial consultants, for research, planning, generating reports and compilations, or for personal use, so long as the above conditions of access are complied with.

Raw data, i.e. bulk detail records of individual locations that have been downloaded from NatureMap and not summarised, compiled or modified in any substantial way, may not be on-sold or rebadged without written permission from the Department of Environment and Conservation (DEC). This is consistent with Australian Copyright law.

Other descriptive text and images, such as Thematic content on wetlands or ecological attributes, remain the property of NatureMap and copyright holders and may not be used without written permission from DEC.

For full terms of use see Copyright page at

http://naturemap.dec.wa.gov.au/default.aspx","For more information: https://collections.ala.org.au/public/show/dr932","","","","8"
"dr22559","Scenic Rim Bioblitz 2017","","Scenic Rim 2017 Bioblitz Pitfalls: Wildlife Queensland (2023) Scenic Rim 2017 Bioblitz Pitfalls dataset
Scenic Rim Bioblitz 2017 small mammal trapping: Wildlife Queensland (2023) Scenic Rim Bioblitz 2017 small mammal trapping dataset
Fauna surveys Bioblitz Scenic Rim 2017: Wildlife Queensland (2023) Fauna surveys Bioblitz Scenic Rim 2017 dataset
Flora surveys Bioblitz Scenic Rim 2017: Wildlife Queensland (2023) Flora surveys Bioblitz Scenic Rim 2017 dataset
motion-sensing cameras and bat detectors: Wildlife Queensland (2023) motion-sensing cameras and bat detectors dataset
Scenic Rim Bioblitz Moths: Wildlife Queensland (2023) Scenic Rim Bioblitz Moths dataset
","other","For more information: https://collections.ala.org.au/public/show/dr22559","","","","5"
"dr10574","Tasmanian Herbarium (HO) AVH data","10.15468/8wmoeb","Tasmanian Herbarium, Tasmanian Museum and Art Gallery. PO Box 5058, UTAS LPO, Sandy Bay 7005, Tasmania, Australia. https://www.tmag.tas.gov.au/","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) You are licensed to use, reproduce, distribute, publish or otherwise make available the Data, or to use or adapt the Data to create derivative works.

In any reproduction, distribution or publication of the Data, you must attribute the source of the Data as Australia's Virtual Herbarium (AVH).

In any use or adaptation of the Data to create derivative works, you must acknowledge the use of the Data in the derivative work and attribute the source of the Data as Australia's Virtual Herbarium (AVH).

You acknowledge that the Data may contain errors and omissions and that you employ the Data at your own risk.

Neither the Council of Heads of Australasian Herbaria (CHAH) nor any other Data Custodian will accept liability for any loss, damage, cost or expenses that you may incur as a result of the use of or reliance upon the Data.

You should use the current Data from the ALA portal and not rely on material you have previously printed or downloaded.","For more information: https://collections.ala.org.au/public/show/dr10574","","","","5842"
"dr7577","City of Kalamunda Biodiversity Inventory","10.15468/x5b0f7","City of Kalamunda Biodiversity Inventory: City of Kalamunda (2022) City of Kalamunda Biodiversity Inventory dataset
","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au)) City of Kalamunda Biodiversity Inventory: City of Kalamunda (2022) City of Kalamunda Biodiversity Inventory dataset
 
        Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0) City of Kalamunda Biodiversity Inventory: City of Kalamunda (2022) City of Kalamunda Biodiversity Inventory dataset
 
        Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0)","For more information: https://collections.ala.org.au/public/show/dr7577","","","","7"
"dr30617","CDA - California Department of Food and Agriculture","10.15468/phc373","California Department of Food and Agriculture (CDA) (2025). CDA - California Department of Food and Agriculture. Occurrence dataset https://doi.org/10.15468/phc373 accessed via GBIF.org on 2025-03-11.","CC BY-NC","For more information: https://collections.ala.org.au/public/show/dr30617","","","","1"
"in92","Landcare Research NZ Ltd","","Records provided by Landcare Research NZ Ltd, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in92","","","","9256"
"dr30613","Bryophyte Herbarium (H): V. F. Brotherus Herbarium (H-BR)","10.15468/frw5yu","Finnish Biodiversity Information Facility (2025). Bryophyte Herbarium (H): V. F. Brotherus Herbarium (H-BR). Occurrence dataset https://doi.org/10.15468/frw5yu accessed via GBIF.org on 2025-03-11.","CC BY","For more information: https://collections.ala.org.au/public/show/dr30613","","","","1"
"in85","Botanic Gardens of Adelaide","","Records provided by Botanic Gardens of Adelaide, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in85","","","","1"
"in87","Department of Environment and Natural Resources","","Records provided by Department of Environment and Natural Resources, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in87","","","","878"
"dr726","PlantBank Records","10.15468/09xiam","Australian Seed Bank, a resource of the Australian Seed Bank Partnership and its member organisations listed at http://www.seedpartnership.org.au/partners. Content from this website should be attributed as:

Australian Seed Bank Partnership (<current year>) Australian Seed Bank (Accessed <date of access>)

","CC-BY","For more information: https://collections.ala.org.au/public/show/dr726","","","","92"
"dr8798","Wairambar Rainforest Species List","10.15468/lkjjt3","Wairambar Rainforest (https://sites.google.com/view/wairambarrainforest)","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au))","For more information: https://collections.ala.org.au/public/show/dr8798","","","","5"
"in82","Museum of New Zealand Te Papa Tongarewa","","Records provided by Museum of New Zealand Te Papa Tongarewa, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in82","","","","4632"
"in81","Australian National Botanic Gardens","","Records provided by Australian National Botanic Gardens, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in81","","","","56"
"dr4635","Michael Barkla's Observations","10.15468/6xuazh","Michael Barkla","CC-BY Michael Barkla","For more information: https://collections.ala.org.au/public/show/dr4635","","","","2"
"in75","Australian Antarctic Division","","Records provided by Australian Antarctic Division, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in75","","","","3"
"dr30620","Carnegie Museum of Natural History Herbarium","10.15468/d51v1f","Carnegie Museums (2025). Carnegie Museum of Natural History Herbarium. Occurrence dataset https://doi.org/10.15468/d51v1f accessed via GBIF.org on 2025-03-11.","Creative Commons Zero (CC0)","For more information: https://collections.ala.org.au/public/show/dr30620","","","","19"
"dr836","Lizard Island Research Station","10.15468/5bsrkm","citation is at record level","CC-BY http://creativecommons.org/licenses/by/3.0/","For more information: https://collections.ala.org.au/public/show/dr836","","","","2"
"dr714","Gaia Guide","10.15468/i1bc3o","Records provided by Gaia Guide, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 3.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr714","","","","2"
"dr30188","University of Vermont, Pringle Herbarium","10.15468/zsgiog","The University of Vermont Pringle Herbarium (2025). University of Vermont, Pringle Herbarium. Occurrence dataset https://doi.org/10.15468/zsgiog accessed via GBIF.org on 2025-02-14.","CC BY","For more information: https://collections.ala.org.au/public/show/dr30188","","","","95"
"dr30189","Vascular Plant Herbarium, Oslo (O) UiO","10.15468/wtlymk","University of Oslo (2025). Vascular Plant Herbarium, Oslo (O) UiO. Version 1.2240. Occurrence dataset https://doi.org/10.15468/wtlymk accessed via GBIF.org on 2025-02-14.","CC BY","For more information: https://collections.ala.org.au/public/show/dr30189","","","","8"
"dr837","Australian Native Plants Society, Canberra Region","10.15468/tny1vd","Australian Native Plants Society, Canberra Region Inc.","CC-BY-NC","For more information: https://collections.ala.org.au/public/show/dr837","","","","551"
"dr710","Tasmanian Natural Values Atlas","10.15468/rtnb4m","Natural Values Atlas (www.naturalvaluesatlas.tas.gov.au), Date Stamp, (c) State of Tasmania","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au))","For more information: https://collections.ala.org.au/public/show/dr710","","The Natural Values Atlas does contain restricted data however only non restricted project and species observation data will be provided to the ALA. To request access to these records please contact support(at)naturalvaluesatlas.tas.gov.au.","","19320"
"dr952","Fire in Gimlet Woodlands","10.15468/cdvcur","Gosper CR, Yates CJ and Prober SM (2013). Fire in gimlet woodlands. NatureMap, Department of Environment and Conservation. On-line: http://naturemap.dec.wa.gov.au/Query.aspx?querytype=content&content=gimlet","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) These data are currently being used for research into the impacts of fires on Eucalyptus salubris woodlands. These data have been used to support one journal publication, with a second under review at present. These data are freely available for use, however, we request that potential users contact the project team to discuss opportunities for collaboration. Note that some of these data are duplicates of data available at the TERN Data Discovery Portal, lodged under the project ""Time-since-fire plots. Great Western Woodlands (1) Floristic composition and diversity"".","For more information: https://collections.ala.org.au/public/show/dr952","","","","12"
"dr909","South Coast Survey","10.15468/fyngz8","South Coast Survey. NatureMap: Mapping Western Australia's Biodiversity. Department of Environment and Conservation. URL: http://naturemap.dec.wa.gov.au/","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) Conditions of Access

All users need to acknowledge and agree to the following conditions before using NatureMap content:

Data within NatureMap is provided with the participation and good will of data custodians and I will endeavour, where possible, to seek a collaborative approach with custodians in any research or papers published using NatureMap data.

Re-sale of raw data or the commercial use of images or descriptive text (other than generated maps, species lists and reports) on this site is unauthorised unless written permission is obtained from the Department of Environment and Conservation (DEC).

Appropriate and full acknowledgement of DEC and species data custodians (see Data Directory) must always be given in any publication that includes data sourced here.

Data provided through NatureMap represents positive records of flora and fauna occurrence. The absence of a record should not be taken to mean flora or fauna is necessarily absent from an area. (To minimise the effect of data gaps, a buffer area should be applied that is reflective of the likelihood of surveys or collections having been undertaken in the target area.)

My username and password will not be passed on to any other person or organisation.

DEC and data custodians reserve the right to revoke registration if the above conditions of access are not complied with.

I will notify DEC if any relevant conditions change that might affect my NatureMap authorisation level.

Also note:

Custodians have kindly granted permission to allow relatively large subsets of data to be downloaded for a wide range of uses, including within a commercial context. Note, however, it is not NatureMap policy to allow the downloading of entire datasets

It is current custodian policy to only grant Advanced Access (see the Registration page) for bona fide research or conservation planning purposes. This does not extend to use within a commercial context. While this may appear restrictive, in fact basic registration provides a great deal of information on both conservation and non-conservation taxa, and all users are encouraged to explore NatureMap's sophisticated querying and mapping capabilities. DEC's Species and Communities Branch continues to provide information on detailed localities of conservation taxa to consultants and other commercial users on a fee-for-service basis.

Fair Use Guidlines

As stated above, we want as many people as possible to make use of the data available within NatureMap, so long as that use is ""fair"". It is considered fair for anyone to use information from NatureMap for conservation or planning purposes, including incorporating that information into reports or papers, or summarising and value-adding to data.

It is not considered fair use to download raw data and on-sell it. That would contravene copyright. It is also bad business, because anyone could obtain the same data directly from NatureMap.

Of particular note:

Maps, species lists, reports and raw data may be freely used by anyone, including commercial consultants, for research, planning, generating reports and compilations, or for personal use, so long as the above conditions of access are complied with.

Raw data, i.e. bulk detail records of individual locations that have been downloaded from NatureMap and not summarised, compiled or modified in any substantial way, may not be on-sold or rebadged without written permission from the Department of Environment and Conservation (DEC). This is consistent with Australian Copyright law.

Other descriptive text and images, such as Thematic content on wetlands or ecological attributes, remain the property of NatureMap and copyright holders and may not be used without written permission from DEC.

For full terms of use see Copyright page at

http://naturemap.dec.wa.gov.au/default.aspx","For more information: https://collections.ala.org.au/public/show/dr909","","","","219"
"dr1010","ClimateWatch","10.15468/xlx9o4","Data accessed from ClimateWatch can be cited in the following format:
ClimateWatch <YEAR> <SPECIES> <START DATE> - <END DATE> 
Data set accessed <DATE> http://www.climatewatch.org.au.","Creative Commons Attribution (International) (CC-BY 3.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr1010","","","","130"
"dr22131","Brisbane Botanic Gardens","10.15468/w25vrn","Records provided by Brisbane Botanic Gardens, accessed through ALA website.","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au)) Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0) 
        Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0) 
        Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0) 
        Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0)","For more information: https://collections.ala.org.au/public/show/dr22131","","","","4"
"dr1132","WildNet - Queensland Wildlife Data","10.15468/lxgoyb","Queensland Government","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr1132","","","","30"
"dr344","Queensland Museum provider for OZCAM","10.15468/lotsye","Queensland Museum, http://www.qm.qld.gov.au/","CC-BY","For more information: https://collections.ala.org.au/public/show/dr344","","","","24"
"dr345","Queen Victoria Museum Art Gallery provider for OZCAM","10.15468/tedfxn","Queen Victoria Museum and Art Gallery, http://www.qvmag.tas.gov.au/","Creative Commons Attribution-Noncommercial (International) (CC-BY-NC 4.0 (Int)) Queen Victoria Museum and Art Gallery, http://www.qvmag.tas.gov.au/ Queen Victoria Museum and Art Gallery, http://www.qvmag.tas.gov.au/ 
        Creative Commons Attribution-Noncommercial (International) (CC-BY-NC 4.0 (Int) 4.0)","For more information: https://collections.ala.org.au/public/show/dr345","","","","1"
"dr340","Australian Museum provider for OZCAM","10.15468/e7susi","Records provided by Australian Museum provider for OZCAM, accessed through ALA website.","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au)) Australian Museum, http://australianmuseum.net.au/ Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0)","For more information: https://collections.ala.org.au/public/show/dr340","","","","2"
"dr30675","University of British Columbia Herbarium (UBC) - Vascular Plant Collection","10.5886/rtt57cc9","doi:10.5886/rtt57cc9","Creative Commons Zero (CC0)","For more information: https://collections.ala.org.au/public/show/dr30675","","","","42"
"dr30434","United Herbaria of the University and ETH Zurich","10.15468/tjvqci","Nyffeler R, Guggisberg A (2025). United Herbaria of the University and ETH Zurich. Version 1.1379. United Herbaria of the University and ETH Zurich (Z+ZT). Occurrence dataset https://doi.org/10.15468/tjvqci accessed via GBIF.org on 2025-02-24.","CC BY","For more information: https://collections.ala.org.au/public/show/dr30434","","","","4"
"dr30430","The University and Jepson Herbaria -- Vascular Plants","10.15468/nmny7h","Alexander J, Gross J (2024). The University and Jepson Herbaria -- Vascular Plants. Version 1.9. Berkeley Natural History Museums. Occurrence dataset https://doi.org/10.15468/nmny7h accessed via GBIF.org on 2025-02-24.","CC BY-NC","For more information: https://collections.ala.org.au/public/show/dr30430","","","","223"
"dr23109","South Australian Seed Conservation Centre","","Records provided by South Australian Seed Conservation Centre, accessed through ALA website.","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au)) Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0) 
        Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0) 
        Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0)","For more information: https://collections.ala.org.au/public/show/dr23109","","","","763"
"dr9662","Brisbane City Council","10.15468/ljfjwq","Brisbane City Council (https://www.brisbane.qld.gov.au/)","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au))","For more information: https://collections.ala.org.au/public/show/dr9662","","","","61"
"dp2048","ClimateWatch","","Records provided by ClimateWatch, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp2048","","","","130"
"dr2592","Logan City Council Species Sightings","10.15468/pxqupc","Records provided by Logan City Council Species Sightings, accessed through ALA website.","Logan City Council, Queensland","For more information: https://collections.ala.org.au/public/show/dr2592","","","","3"
"in118","Massey University","","Records provided by Massey University, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in118","","","","93"
"in115","Lincoln University","","Records provided by Lincoln University, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in115","","","","266"
"dr8212","Conservation Atlas Surveys","10.15468/yoxxna","Specht A., Bolton M.P., Kingsford B., Specht R.L., Belbin L. (2018) A story of data won, data lost and data re-found: the realities of ecological data preservation. Biodiversity Data Journal 6:e28073. doi: 10.3897/BDJ.6.e28073","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au))","For more information: https://collections.ala.org.au/public/show/dr8212","None.","None","","2070"
"in119","Scion","","Records provided by Scion, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in119","","","","594"
"co147","Queensland Museum Molluscs","","Records provided by Queensland Museum Molluscs, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co147","","","","24"
"dr23110","Australian PlantBank","10.15468/966wqr","Records provided by Australian PlantBank, accessed through ALA website.","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au)) Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0) 
        Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0) 
        Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0) 
        Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0) 
        Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0)","For more information: https://collections.ala.org.au/public/show/dr23110","","","","632"
"in97","Unitec Institute of Technology","","Records provided by Unitec Institute of Technology, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in97","","","","1"
"in113","Auckland War Memorial Museum","","Records provided by Auckland War Memorial Museum, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in113","","","","5120"
"dr450","The Unique Flora of Tasmania","doi:10.15468/jmhbiw","J & R Coghlan, Australian Plants Society Tasmania (for images with no credit), 
images from members of APST need ""(name) Australian Plants Society Tasmania"", 
images from Chris Bell need ""Chris Bell (genus species)"".","CC-BY","For more information: https://collections.ala.org.au/public/show/dr450","","","","1"
"in114","University of Canterbury","","Records provided by University of Canterbury, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in114","","","","1"
"dr451","Australian Succulents","10.15468/yytveo","A&M. Kapitany, australiansucculents.com.au","CC-BY","For more information: https://collections.ala.org.au/public/show/dr451","","","","18"
"co270","FieldData / Biological Data Recording System","","Records provided by FieldData / Biological Data Recording System, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co270","","","","14"
"co173","Australian Antarctic Division Herbarium","","Records provided by Australian Antarctic Division Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co173","","","","3"
"dr1030","Bush Heritage - Carnarvon Station Reserve","10.15468/q0dhpr","Bush Heritage Australia","CC-BY","For more information: https://collections.ala.org.au/public/show/dr1030","","","","9"
"dr366","SA Flora","10.15468/af24d8","© Crown in right of the State of South Australia, Department of Environment, Water and Natural Resources.","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr366","- Data is supplied to ALA as held on BDBSA.
- Copies of third party datasets held by DEW are not available through SAFlora and SAFauna in ALA. 
- Information about BDBSA datasets is available through the DEW website ( http://apps.environment.sa.gov.au/emap/envmaps-query.do?cmd=su.SurveySummaryMain )","- DEW provides advice as required on restrictions to sensitive records.
- DEW perform standard filtering of BDBSA data prior to release. These standard filters include records considered questionable due to location or taxonomic issues and sub fossil records","","43194"
"dr30658","Plant specimens deposited in Osaka Museum of Natural History, Japan","10.15468/sythrh","Yokogawa M (2025). Plant specimens deposited in Osaka Museum of Natural History, Japan. National Museum of Nature and Science, Japan. Occurrence dataset https://doi.org/10.15468/sythrh accessed via GBIF.org on 2025-03-11.","CC BY","For more information: https://collections.ala.org.au/public/show/dr30658","","","","2"
"dr368","NSW BioNet Atlas","10.15468/14jd9g","BioNet Species Sightings occurrence data held by the NSW Office of Environment and Heritage (OEH).   The BioNet repository holds data from a number of sources and custodians. (Accessed through ALA Data Portal,<Date of Access>).","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr368","","","","77140"
"dr362","Flora Atlas N.T.","10.15468/d5o7bf","Data supplied by Dept. Natural Resources, Environment, The Arts and Sport. Northern Territory of Australia","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au)) Data supplied is licensed under the Creative Commons Attribution 3.0 Australia License.","For more information: https://collections.ala.org.au/public/show/dr362","","","","852"
"dr30411","Herbarium Berolinense, Berlin (B)","10.15468/dlwwhz","Botanic Garden and Botanical Museum Berlin (2023). Herbarium Berolinense, Berlin (B). Occurrence dataset https://doi.org/10.15468/dlwwhz accessed via GBIF.org on 2025-02-24.","Creative Commons Zero (CC0)","For more information: https://collections.ala.org.au/public/show/dr30411","","","","8"
"dr364","ALA species sightings and OzAtlas","10.15468/jayxmn","Individual sighting: Atlas of Living Australia (2025) Individual sighting dataset
Test sighting: Atlas of Living Australia (2025) Test sighting dataset
","CC-BY","For more information: https://collections.ala.org.au/public/show/dr364","","","","3759"
"dr360","Encyclopedia of Life Images - Flickr Group","","Citation is at the individual image","Creative Commons - license at record level (Creative Commons - license at record level)","For more information: https://collections.ala.org.au/public/show/dr360","","","","976"
"dr6975","Plants Of The Green Line - Woolsthorpe Section","10.15468/vrmvba","Plants Of The Green Line - Woolsthorpe Section (https://biocollect.ala.org.au/acsa/project/index/faefd6dd-70bb-4f66-97fb-b82b41415706)","Creative Commons Zero (CC0)","For more information: https://collections.ala.org.au/public/show/dr6975","","","","2"
"dr28226","New Zealand National Forestry Herbarium","10.15468/wwmzk6","Records provided by New Zealand National Forestry Herbarium, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr28226","","","","594"
"dr30667","The Vascular Plant Collection at the Botanische Staatssammlung München","10.15468/vgr4kl","Staatliche Naturwissenschaftliche Sammlungen Bayerns. The Vascular Plant Collection at the Botanische Staatssammlung München. Occurrence dataset https://doi.org/10.15468/vgr4kl accessed via GBIF.org on 2025-03-11.","CC BY","For more information: https://collections.ala.org.au/public/show/dr30667","","","","46"
"dr30426","SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas","10.15468/axlcjr","https://specieslink.net/col/1/","CC BY-NC","For more information: https://collections.ala.org.au/public/show/dr30426","","","","6"
"dr356","Littlewood Species List","10.15468/wyol5m","Paul Daves ""Littlewood","CC-BY-NC","For more information: https://collections.ala.org.au/public/show/dr356","","","","3"
"dr30421","Moscow University Herbarium (MW)","10.15468/cpnhcc","Seregin A (2025). Moscow University Herbarium (MW). Version 1.370. Lomonosov Moscow State University. Occurrence dataset https://doi.org/10.15468/cpnhcc accessed via GBIF.org on 2025-02-24.","CC BY","For more information: https://collections.ala.org.au/public/show/dr30421","","","","62"
"dr472","Annotated Atlas of the Vascular Flora of Macquarie Island - 1979","10.26179/5c64ba89e255e","Copson, G. (2010, updated 2019) Annotated Atlas of the Vascular Flora of Macquarie Island - 1979 Australian Antarctic Data Centre.","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collections.ala.org.au/public/show/dr472","","","","14"
"dr474","Biology and population studies of two endemic orchid species on sub-Antarctic Macquarie Island","10.15468/ht3zeq","Australian Antarctic Data Centre. Biology and population studies of two endemic orchid species on sub-Antarctic Macquarie Island.","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collections.ala.org.au/public/show/dr474","","","","15"
"dr30660","Royal Botanic Garden Edinburgh Living Plant Collections (E)","10.15468/bkzv1l","Rob Cubey (2022). Royal Botanic Garden Edinburgh Living Plant Collections (E). Royal Botanic Garden Edinburgh. Occurrence dataset https://doi.org/10.15468/bkzv1l accessed via GBIF.org on 2025-03-11.","CC BY-NC","For more information: https://collections.ala.org.au/public/show/dr30660","","","","12"
"dr16853","Port Adelaide Enfield Flora & Fauna Monitoring","10.15468/2pkvmx","Dry Creek Linear Trail bird survey: City of Port Adelaide Enfield (2025) Dry Creek Linear Trail bird survey dataset
Coastal Sand Dunes bird transect survey: City of Port Adelaide Enfield (2025) Coastal Sand Dunes bird transect survey dataset
River Torrens Linear Park 200m bird transect x 4 quadrat survey: City of Port Adelaide Enfield (2025) River Torrens Linear Park 200m bird transect x 4 quadrat survey dataset
Folland Park 100m bird transect x 4 quadrat survey: City of Port Adelaide Enfield (2025) Folland Park 100m bird transect x 4 quadrat survey dataset
Vegetation Photo-point Monitoring_Semaphore South: City of Port Adelaide Enfield (2025) Vegetation Photo-point Monitoring_Semaphore South dataset
Vegetation Photo-point Monitoring_Dry Creek: City of Port Adelaide Enfield (2025) Vegetation Photo-point Monitoring_Dry Creek dataset
Biodiversity Park - Photo-point: City of Port Adelaide Enfield (2025) Biodiversity Park - Photo-point dataset
Mutton Cove Photo-point: City of Port Adelaide Enfield (2025) Mutton Cove Photo-point dataset
Mutton Cove 200m bird transect : City of Port Adelaide Enfield (2025) Mutton Cove 200m bird transect dataset
Biodiversity Park Bird 430m Survey along path: City of Port Adelaide Enfield (2025) Biodiversity Park Bird 430m Survey along path dataset
Magazine Creek Wetlands 200m x 200m Transect: City of Port Adelaide Enfield (2025) Magazine Creek Wetlands 200m x 200m Transect dataset
Bitter Bush Blue Project: City of Port Adelaide Enfield (2025) Bitter Bush Blue Project dataset
Barker Inlet South Wetlands 200 x 200m Transect: City of Port Adelaide Enfield (2025) Barker Inlet South Wetlands 200 x 200m Transect dataset
Barker Inlet North Wetland 200m x 200m Bird Transect: City of Port Adelaide Enfield (2025) Barker Inlet North Wetland 200m x 200m Bird Transect dataset
Vegetation Photo-point Monitoring - Henry Street Swale: City of Port Adelaide Enfield (2025) Vegetation Photo-point Monitoring - Henry Street Swale dataset
South Parkway Reserve Wetlands survey: City of Port Adelaide Enfield (2025) South Parkway Reserve Wetlands survey dataset
Barker Inlet Wetland South Photo-point 1.: City of Port Adelaide Enfield (2025) Barker Inlet Wetland South Photo-point 1. dataset
Barker Inlet Wetlands South Photo-point 2.: City of Port Adelaide Enfield (2025) Barker Inlet Wetlands South Photo-point 2. dataset
Barker Inlet Wetland South Photo-point 3.: City of Port Adelaide Enfield (2025) Barker Inlet Wetland South Photo-point 3. dataset
Roy Amer Reserve and Wetland Survey: City of Port Adelaide Enfield (2025) Roy Amer Reserve and Wetland Survey dataset
Dry Creek Bird 500m Survey Transect: City of Port Adelaide Enfield (2025) Dry Creek Bird 500m Survey Transect dataset
Range Wetlands Survey: City of Port Adelaide Enfield (2025) Range Wetlands Survey dataset
","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au))","For more information: https://collections.ala.org.au/public/show/dr16853","","","","1"
